"Fish_id","Dataset","Predicted_Watershed","Actual_Watershed","Correct_Classified"
"2011_nk_101","RAW","Nush","Nush","Yes"
"2011_nk_109","RAW","Kusko","Nush","No"
"2011_nk_112","RAW","Kusko","Nush","No"
"2011_nk_114","RAW","Nush","Nush","Yes"
"2011_nk_120","RAW","Nush","Nush","Yes"
"2011_nk_122","RAW","Nush","Nush","Yes"
"2011_nk_125","RAW","Kusko","Nush","No"
"2011_nk_15","RAW","Nush","Nush","Yes"
"2011_nk_158","RAW","Nush","Nush","Yes"
"2011_nk_163","RAW","Nush","Nush","Yes"
"2011_nk_167","RAW","Nush","Nush","Yes"
"2011_nk_169","RAW","Nush","Nush","Yes"
"2011_nk_182","RAW","Kusko","Nush","No"
"2011_nk_19","RAW","Nush","Nush","Yes"
"2011_nk_192","RAW","Nush","Nush","Yes"
"2011_nk_193","RAW","Nush","Nush","Yes"
"2011_nk_203","RAW","Nush","Nush","Yes"
"2011_nk_207","RAW","Nush","Nush","Yes"
"2011_nk_211","RAW","Nush","Nush","Yes"
"2011_nk_218","RAW","Nush","Nush","Yes"
"2011_nk_221","RAW","Nush","Nush","Yes"
"2011_nk_226","RAW","Nush","Nush","Yes"
"2011_nk_228","RAW","Kusko","Nush","No"
"2011_nk_230","RAW","Nush","Nush","Yes"
"2011_nk_231","RAW","Nush","Nush","Yes"
"2011_nk_232","RAW","Nush","Nush","Yes"
"2011_nk_233","RAW","Nush","Nush","Yes"
"2011_nk_24","RAW","Nush","Nush","Yes"
"2011_nk_241","RAW","Nush","Nush","Yes"
"2011_nk_248","RAW","Nush","Nush","Yes"
"2011_nk_254","RAW","Nush","Nush","Yes"
"2011_nk_39","RAW","Nush","Nush","Yes"
"2011_nk_51","RAW","Nush","Nush","Yes"
"2011_nk_60","RAW","Kusko","Nush","No"
"2011_nk_613","RAW","Nush","Nush","Yes"
"2011_nk_64","RAW","Nush","Nush","Yes"
"2011_nk_65","RAW","Nush","Nush","Yes"
"2011_nk_66","RAW","Nush","Nush","Yes"
"2011_nk_71","RAW","Nush","Nush","Yes"
"2011_nk_77","RAW","Nush","Nush","Yes"
"2011_nk_80","RAW","Nush","Nush","Yes"
"2011_nk_92","RAW","Kusko","Nush","No"
"2014_nk_1","RAW","Nush","Nush","Yes"
"2014_nk_10_redo","RAW","Nush","Nush","Yes"
"2014_nk_104","RAW","Kusko","Nush","No"
"2014_nk_105","RAW","Nush","Nush","Yes"
"2014_nk_107","RAW","Nush","Nush","Yes"
"2014_nk_117","RAW","Kusko","Nush","No"
"2014_nk_118","RAW","Kusko","Nush","No"
"2014_nk_12","RAW","Nush","Nush","Yes"
"2014_nk_129","RAW","Nush","Nush","Yes"
"2014_nk_132","RAW","Nush","Nush","Yes"
"2014_nk_139","RAW","Kusko","Nush","No"
"2014_nk_145","RAW","Nush","Nush","Yes"
"2014_nk_15","RAW","Nush","Nush","Yes"
"2014_nk_151","RAW","Nush","Nush","Yes"
"2014_nk_154","RAW","Nush","Nush","Yes"
"2014_nk_157","RAW","Nush","Nush","Yes"
"2014_nk_163","RAW","Nush","Nush","Yes"
"2014_nk_164","RAW","Nush","Nush","Yes"
"2014_nk_176","RAW","Nush","Nush","Yes"
"2014_nk_179","RAW","Kusko","Nush","No"
"2014_nk_18_redo","RAW","Nush","Nush","Yes"
"2014_nk_184","RAW","Nush","Nush","Yes"
"2014_nk_186","RAW","Nush","Nush","Yes"
"2014_nk_192","RAW","Nush","Nush","Yes"
"2014_nk_193","RAW","Nush","Nush","Yes"
"2014_nk_200","RAW","Nush","Nush","Yes"
"2014_nk_208","RAW","Nush","Nush","Yes"
"2014_nk_210","RAW","Nush","Nush","Yes"
"2014_nk_215","RAW","Nush","Nush","Yes"
"2014_nk_217","RAW","Nush","Nush","Yes"
"2014_nk_227","RAW","Nush","Nush","Yes"
"2014_nk_231","RAW","Kusko","Nush","No"
"2014_nk_234","RAW","Nush","Nush","Yes"
"2014_nk_239","RAW","Nush","Nush","Yes"
"2014_nk_248","RAW","Nush","Nush","Yes"
"2014_nk_250","RAW","Nush","Nush","Yes"
"2014_nk_251","RAW","Nush","Nush","Yes"
"2014_nk_252","RAW","Nush","Nush","Yes"
"2014_nk_26","RAW","Nush","Nush","Yes"
"2014_nk_262","RAW","Nush","Nush","Yes"
"2014_nk_263","RAW","Kusko","Nush","No"
"2014_nk_270","RAW","Kusko","Nush","No"
"2014_nk_271","RAW","Kusko","Nush","No"
"2014_nk_273","RAW","Nush","Nush","Yes"
"2014_nk_279","RAW","Nush","Nush","Yes"
"2014_nk_37","RAW","Nush","Nush","Yes"
"2014_nk_46B","RAW","Kusko","Nush","No"
"2014_nk_48","RAW","Kusko","Nush","No"
"2014_nk_5","RAW","Nush","Nush","Yes"
"2014_nk_55","RAW","Nush","Nush","Yes"
"2014_nk_56_redo","RAW","Nush","Nush","Yes"
"2014_nk_62","RAW","Nush","Nush","Yes"
"2014_nk_65","RAW","Nush","Nush","Yes"
"2014_nk_71","RAW","Kusko","Nush","No"
"2014_nk_72","RAW","Nush","Nush","Yes"
"2014_nk_73","RAW","Kusko","Nush","No"
"2014_nk_76","RAW","Kusko","Nush","No"
"2014_nk_81","RAW","Kusko","Nush","No"
"2014_nk_90","RAW","Nush","Nush","Yes"
"2014_nk_93","RAW","Nush","Nush","Yes"
"2015_nk_002","RAW","Nush","Nush","Yes"
"2015_nk_004","RAW","Kusko","Nush","No"
"2015_nk_013_2","RAW","Nush","Nush","Yes"
"2015_nk_022","RAW","Nush","Nush","Yes"
"2015_nk_030_redo","RAW","Nush","Nush","Yes"
"2015_nk_036_redo","RAW","Nush","Nush","Yes"
"2015_nk_038","RAW","Nush","Nush","Yes"
"2015_nk_039","RAW","Nush","Nush","Yes"
"2015_nk_042","RAW","Nush","Nush","Yes"
"2015_nk_057","RAW","Kusko","Nush","No"
"2015_nk_058","RAW","Kusko","Nush","No"
"2015_nk_061","RAW","Nush","Nush","Yes"
"2015_nk_065","RAW","Nush","Nush","Yes"
"2015_nk_094","RAW","Nush","Nush","Yes"
"2015_nk_099","RAW","Nush","Nush","Yes"
"2015_nk_101","RAW","Kusko","Nush","No"
"2015_nk_111_redo","RAW","Kusko","Nush","No"
"2015_nk_113","RAW","Nush","Nush","Yes"
"2015_nk_120","RAW","Nush","Nush","Yes"
"2015_nk_122_redoB","RAW","Nush","Nush","Yes"
"2015_nk_123_redo2","RAW","Kusko","Nush","No"
"2015_nk_130_redo","RAW","Nush","Nush","Yes"
"2015_nk_136","RAW","Nush","Nush","Yes"
"2015_nk_139","RAW","Nush","Nush","Yes"
"2015_nk_164","RAW","Nush","Nush","Yes"
"2015_nk_168","RAW","Nush","Nush","Yes"
"2015_nk_183","RAW","Kusko","Nush","No"
"2015_nk_185_redo","RAW","Nush","Nush","Yes"
"2015_nk_188","RAW","Nush","Nush","Yes"
"2015_nk_207","RAW","Nush","Nush","Yes"
"2015_nk_215","RAW","Nush","Nush","Yes"
"2015_nk_220","RAW","Nush","Nush","Yes"
"2015_nk_224_redo","RAW","Nush","Nush","Yes"
"2015_nk_225","RAW","Nush","Nush","Yes"
"2015_nk_233_redo","RAW","Nush","Nush","Yes"
"2015_nk_235","RAW","Nush","Nush","Yes"
"2015_nk_241","RAW","Nush","Nush","Yes"
"2015_nk_242","RAW","Nush","Nush","Yes"
"2015_nk_245","RAW","Nush","Nush","Yes"
"2015_nk_247","RAW","Nush","Nush","Yes"
"2015_nk_257","RAW","Nush","Nush","Yes"
"2015_nk_260_redo","RAW","Nush","Nush","Yes"
"2015_nk_261","RAW","Kusko","Nush","No"
"2015_nk_262","RAW","Nush","Nush","Yes"
"2015_nk_287","RAW","Nush","Nush","Yes"
"2015_nk_296","RAW","Nush","Nush","Yes"
"2015_nk_41_redo","RAW","Nush","Nush","Yes"
"2015_nk_53_redo","RAW","Nush","Nush","Yes"
"2015_nk_54_redo","RAW","Kusko","Nush","No"
"2015_nk_86_redo","RAW","Nush","Nush","Yes"
"2015_nk_89_redo","RAW","Nush","Nush","Yes"
"2015_yk_017","RAW","Yukon","Yukon","Yes"
"2015_yk_034","RAW","Yukon","Yukon","Yes"
"2015_yk_035","RAW","Yukon","Yukon","Yes"
"2015_yk_056a","RAW","Yukon","Yukon","Yes"
"2015_yk_065a","RAW","Yukon","Yukon","Yes"
"2015_yk_068","RAW","Yukon","Yukon","Yes"
"2015_yk_097","RAW","Yukon","Yukon","Yes"
"2015_yk_101","RAW","Yukon","Yukon","Yes"
"2015_yk_109","RAW","Yukon","Yukon","Yes"
"2015_yk_114","RAW","Yukon","Yukon","Yes"
"2015_yk_117","RAW","Yukon","Yukon","Yes"
"2015_yk_128","RAW","Yukon","Yukon","Yes"
"2015_yk_129","RAW","Yukon","Yukon","Yes"
"2015_yk_151","RAW","Yukon","Yukon","Yes"
"2015_yk_214","RAW","Yukon","Yukon","Yes"
"2015_yk_219","RAW","Yukon","Yukon","Yes"
"2015_yk_220","RAW","Yukon","Yukon","Yes"
"2015_yk_243","RAW","Yukon","Yukon","Yes"
"2015_yk_259","RAW","Yukon","Yukon","Yes"
"2015_yk_272","RAW","Yukon","Yukon","Yes"
"2015_yk_314","RAW","Yukon","Yukon","Yes"
"2015_yk_338","RAW","Yukon","Yukon","Yes"
"2015_yk_342","RAW","Yukon","Yukon","Yes"
"2015_yk_357","RAW","Yukon","Yukon","Yes"
"2015_yk_377","RAW","Kusko","Yukon","No"
"2015_yk_397","RAW","Kusko","Yukon","No"
"2015_yk_433","RAW","Yukon","Yukon","Yes"
"2015_yk_438","RAW","Kusko","Yukon","No"
"2015_yk_462","RAW","Kusko","Yukon","No"
"2015_yk_479","RAW","Kusko","Yukon","No"
"2015_yk_521","RAW","Yukon","Yukon","Yes"
"2015_yk_526","RAW","Yukon","Yukon","Yes"
"2015_yk_550","RAW","Yukon","Yukon","Yes"
"2015_yk_576","RAW","Kusko","Yukon","No"
"2015_yk_585","RAW","Kusko","Yukon","No"
"2015_yk_595","RAW","Yukon","Yukon","Yes"
"2015_yk_599","RAW","Kusko","Yukon","No"
"2015_yk_613","RAW","Kusko","Yukon","No"
"2015_yk_615","RAW","Kusko","Yukon","No"
"2016_yk_006","RAW","Yukon","Yukon","Yes"
"2016_yk_007","RAW","Yukon","Yukon","Yes"
"2016_yk_015_redo","RAW","Yukon","Yukon","Yes"
"2016_yk_019","RAW","Yukon","Yukon","Yes"
"2016_yk_020","RAW","Yukon","Yukon","Yes"
"2016_yk_025","RAW","Yukon","Yukon","Yes"
"2016_yk_026","RAW","Yukon","Yukon","Yes"
"2016_yk_033","RAW","Yukon","Yukon","Yes"
"2016_yk_042_redo","RAW","Kusko","Yukon","No"
"2016_yk_044_redo","RAW","Kusko","Yukon","No"
"2016_yk_045","RAW","Yukon","Yukon","Yes"
"2016_yk_047","RAW","Yukon","Yukon","Yes"
"2016_yk_048","RAW","Yukon","Yukon","Yes"
"2016_yk_053_redo","RAW","Yukon","Yukon","Yes"
"2016_yk_057_redo","RAW","Yukon","Yukon","Yes"
"2016_yk_058_redo","RAW","Yukon","Yukon","Yes"
"2016_yk_060_redo","RAW","Yukon","Yukon","Yes"
"2016_yk_068","RAW","Yukon","Yukon","Yes"
"2016_yk_074_redo","RAW","Kusko","Yukon","No"
"2016_yk_077","RAW","Nush","Yukon","No"
"2016_yk_079","RAW","Nush","Yukon","No"
"2016_yk_082_redo","RAW","Yukon","Yukon","Yes"
"2016_yk_093","RAW","Kusko","Yukon","No"
"2016_yk_094","RAW","Yukon","Yukon","Yes"
"2016_yk_095_redo","RAW","Yukon","Yukon","Yes"
"2016_yk_097","RAW","Yukon","Yukon","Yes"
"2016_yk_101","RAW","Yukon","Yukon","Yes"
"2016_yk_104_redo","RAW","Yukon","Yukon","Yes"
"2016_yk_105","RAW","Yukon","Yukon","Yes"
"2016_yk_111","RAW","Yukon","Yukon","Yes"
"2016_yk_116_redo","RAW","Yukon","Yukon","Yes"
"2016_yk_120","RAW","Yukon","Yukon","Yes"
"2016_yk_123","RAW","Yukon","Yukon","Yes"
"2016_yk_124","RAW","Yukon","Yukon","Yes"
"2016_yk_125","RAW","Yukon","Yukon","Yes"
"2016_yk_128","RAW","Yukon","Yukon","Yes"
"2016_yk_129","RAW","Yukon","Yukon","Yes"
"2016_yk_150","RAW","Yukon","Yukon","Yes"
"2016_yk_165","RAW","Yukon","Yukon","Yes"
"2016_yk_169","RAW","Yukon","Yukon","Yes"
"2016_yk_174","RAW","Yukon","Yukon","Yes"
"2016_yk_179","RAW","Yukon","Yukon","Yes"
"2016_yk_183_redo","RAW","Yukon","Yukon","Yes"
"2016_yk_184","RAW","Yukon","Yukon","Yes"
"2016_yk_186","RAW","Yukon","Yukon","Yes"
"2016_yk_190_redo","RAW","Yukon","Yukon","Yes"
"2016_yk_192","RAW","Yukon","Yukon","Yes"
"2016_yk_194","RAW","Kusko","Yukon","No"
"2016_yk_203","RAW","Yukon","Yukon","Yes"
"2016_yk_206_redo","RAW","Yukon","Yukon","Yes"
"2016_yk_215","RAW","Yukon","Yukon","Yes"
"2016_yk_216_redo","RAW","Kusko","Yukon","No"
"2016_yk_218","RAW","Nush","Yukon","No"
"2016_yk_222","RAW","Yukon","Yukon","Yes"
"2016_yk_225","RAW","Kusko","Yukon","No"
"2016_yk_226","RAW","Yukon","Yukon","Yes"
"2016_yk_231_a","RAW","Yukon","Yukon","Yes"
"2016_yk_237","RAW","Yukon","Yukon","Yes"
"2016_yk_239_redo","RAW","Yukon","Yukon","Yes"
"2016_yk_242","RAW","Yukon","Yukon","Yes"
"2016_yk_248","RAW","Yukon","Yukon","Yes"
"2017_kk_003","RAW","Kusko","Kusko","Yes"
"2017_kk_005","RAW","Kusko","Kusko","Yes"
"2017_kk_009","RAW","Kusko","Kusko","Yes"
"2017_kk_014","RAW","Kusko","Kusko","Yes"
"2017_kk_021","RAW","Kusko","Kusko","Yes"
"2017_kk_025","RAW","Kusko","Kusko","Yes"
"2017_kk_030","RAW","Kusko","Kusko","Yes"
"2017_kk_031","RAW","Kusko","Kusko","Yes"
"2017_kk_035","RAW","Kusko","Kusko","Yes"
"2017_kk_039","RAW","Nush","Kusko","No"
"2017_kk_050","RAW","Kusko","Kusko","Yes"
"2017_kk_051","RAW","Kusko","Kusko","Yes"
"2017_kk_070","RAW","Kusko","Kusko","Yes"
"2017_kk_071","RAW","Kusko","Kusko","Yes"
"2017_kk_081","RAW","Kusko","Kusko","Yes"
"2017_kk_091","RAW","Kusko","Kusko","Yes"
"2017_kk_095","RAW","Kusko","Kusko","Yes"
"2017_kk_102redoa","RAW","Kusko","Kusko","Yes"
"2017_kk_107","RAW","Kusko","Kusko","Yes"
"2017_kk_112","RAW","Kusko","Kusko","Yes"
"2017_kk_119","RAW","Kusko","Kusko","Yes"
"2017_kk_143","RAW","Kusko","Kusko","Yes"
"2017_kk_150","RAW","Nush","Kusko","No"
"2017_kk_158","RAW","Kusko","Kusko","Yes"
"2017_kk_163","RAW","Nush","Kusko","No"
"2017_kk_164","RAW","Kusko","Kusko","Yes"
"2017_kk_165redo","RAW","Kusko","Kusko","Yes"
"2017_kk_166redo","RAW","Kusko","Kusko","Yes"
"2017_kk_168redo","RAW","Kusko","Kusko","Yes"
"2017_kk_169redo","RAW","Kusko","Kusko","Yes"
"2017_kk_173","RAW","Kusko","Kusko","Yes"
"2017_kk_176redo","RAW","Kusko","Kusko","Yes"
"2017_kk_196","RAW","Kusko","Kusko","Yes"
"2017_kk_203","RAW","Kusko","Kusko","Yes"
"2017_kk_204","RAW","Kusko","Kusko","Yes"
"2017_kk_213","RAW","Kusko","Kusko","Yes"
"2017_kk_217","RAW","Kusko","Kusko","Yes"
"2017_kk_221","RAW","Kusko","Kusko","Yes"
"2017_kk_234","RAW","Kusko","Kusko","Yes"
"2017_kk_239redo","RAW","Kusko","Kusko","Yes"
"2017_kk_242","RAW","Kusko","Kusko","Yes"
"2017_kk_260redo","RAW","Kusko","Kusko","Yes"
"2017_yk_016","RAW","Yukon","Yukon","Yes"
"2017_yk_018","RAW","Yukon","Yukon","Yes"
"2017_yk_033","RAW","Yukon","Yukon","Yes"
"2017_yk_038","RAW","Yukon","Yukon","Yes"
"2017_yk_039","RAW","Yukon","Yukon","Yes"
"2017_yk_041","RAW","Yukon","Yukon","Yes"
"2017_yk_052","RAW","Yukon","Yukon","Yes"
"2017_yk_053","RAW","Yukon","Yukon","Yes"
"2017_yk_056","RAW","Yukon","Yukon","Yes"
"2017_yk_059","RAW","Yukon","Yukon","Yes"
"2017_yk_061","RAW","Yukon","Yukon","Yes"
"2017_yk_062","RAW","Yukon","Yukon","Yes"
"2017_yk_068","RAW","Yukon","Yukon","Yes"
"2017_yk_079","RAW","Yukon","Yukon","Yes"
"2017_yk_080","RAW","Kusko","Yukon","No"
"2017_yk_081","RAW","Nush","Yukon","No"
"2017_yk_091","RAW","Yukon","Yukon","Yes"
"2017_yk_093","RAW","Yukon","Yukon","Yes"
"2017_yk_098","RAW","Yukon","Yukon","Yes"
"2017_yk_102","RAW","Yukon","Yukon","Yes"
"2017_yk_109","RAW","Kusko","Yukon","No"
"2017_yk_129","RAW","Yukon","Yukon","Yes"
"2017_yk_133","RAW","Yukon","Yukon","Yes"
"2017_yk_140","RAW","Yukon","Yukon","Yes"
"2017_yk_164","RAW","Kusko","Yukon","No"
"2017_yk_167","RAW","Yukon","Yukon","Yes"
"2017_yk_177","RAW","Yukon","Yukon","Yes"
"2017_yk_180","RAW","Yukon","Yukon","Yes"
"2017_yk_185","RAW","Yukon","Yukon","Yes"
"2017_yk_192","RAW","Yukon","Yukon","Yes"
"2017_yk_193","RAW","Yukon","Yukon","Yes"
"2017_yk_215","RAW","Yukon","Yukon","Yes"
"2017_yk_217","RAW","Yukon","Yukon","Yes"
"2017_yk_239","RAW","Yukon","Yukon","Yes"
"2017_yk_252","RAW","Kusko","Yukon","No"
"2017_yk_273","RAW","Yukon","Yukon","Yes"
"2017_yk_303","RAW","Yukon","Yukon","Yes"
"2017_yk_309","RAW","Yukon","Yukon","Yes"
"2017_yk_313","RAW","Yukon","Yukon","Yes"
"2017_yk_318","RAW","Nush","Yukon","No"
"2017_yk_321","RAW","Yukon","Yukon","Yes"
"2017_yk_345","RAW","Kusko","Yukon","No"
"2017_yk_357","RAW","Yukon","Yukon","Yes"
"2017_yk_365","RAW","Kusko","Yukon","No"
"2017_yk_366","RAW","Nush","Yukon","No"
"2019_kk_001","RAW","Yukon","Kusko","No"
"2019_kk_007","RAW","Kusko","Kusko","Yes"
"2019_kk_009","RAW","Kusko","Kusko","Yes"
"2019_kk_011","RAW","Kusko","Kusko","Yes"
"2019_kk_016","RAW","Kusko","Kusko","Yes"
"2019_kk_017","RAW","Kusko","Kusko","Yes"
"2019_kk_023","RAW","Kusko","Kusko","Yes"
"2019_kk_041","RAW","Kusko","Kusko","Yes"
"2019_kk_047","RAW","Kusko","Kusko","Yes"
"2019_kk_051","RAW","Kusko","Kusko","Yes"
"2019_kk_080","RAW","Kusko","Kusko","Yes"
"2019_kk_085","RAW","Nush","Kusko","No"
"2019_kk_088","RAW","Kusko","Kusko","Yes"
"2019_kk_090","RAW","Kusko","Kusko","Yes"
"2019_kk_112","RAW","Kusko","Kusko","Yes"
"2019_kk_113","RAW","Kusko","Kusko","Yes"
"2019_kk_114","RAW","Kusko","Kusko","Yes"
"2019_kk_127","RAW","Kusko","Kusko","Yes"
"2019_kk_129","RAW","Kusko","Kusko","Yes"
"2019_kk_147","RAW","Kusko","Kusko","Yes"
"2019_kk_173","RAW","Kusko","Kusko","Yes"
"2019_kk_183","RAW","Nush","Kusko","No"
"2019_kk_190","RAW","Kusko","Kusko","Yes"
"2019_kk_199","RAW","Kusko","Kusko","Yes"
"2019_kk_212","RAW","Kusko","Kusko","Yes"
"2019_kk_218","RAW","Kusko","Kusko","Yes"
"2019_kk_229","RAW","Kusko","Kusko","Yes"
"2019_kk_255","RAW","Kusko","Kusko","Yes"
"2019_kk_282","RAW","Kusko","Kusko","Yes"
"2019_kk_296","RAW","Kusko","Kusko","Yes"
"2019_kk_309","RAW","Kusko","Kusko","Yes"
"2019_kk_332","RAW","Kusko","Kusko","Yes"
"2019_kk_365","RAW","Kusko","Kusko","Yes"
"2019_kk_367","RAW","Kusko","Kusko","Yes"
"2019_kk_384","RAW","Kusko","Kusko","Yes"
"2019_kk_393","RAW","Kusko","Kusko","Yes"
"2019_kk_398","RAW","Kusko","Kusko","Yes"
"2019_kk_425","RAW","Kusko","Kusko","Yes"
"2019_kk_448","RAW","Kusko","Kusko","Yes"
"2019_kk_454","RAW","Kusko","Kusko","Yes"
"2019_kk_455","RAW","Kusko","Kusko","Yes"
"2019_kk_457","RAW","Nush","Kusko","No"
"2019_kk_464","RAW","Kusko","Kusko","Yes"
"2019_kk_481","RAW","Kusko","Kusko","Yes"
"2019_yk_005","RAW","Yukon","Yukon","Yes"
"2019_yk_007","RAW","Yukon","Yukon","Yes"
"2019_yk_036","RAW","Yukon","Yukon","Yes"
"2019_yk_036a","RAW","Kusko","Yukon","No"
"2019_yk_041","RAW","Kusko","Yukon","No"
"2019_yk_042","RAW","Yukon","Yukon","Yes"
"2019_yk_075","RAW","Yukon","Yukon","Yes"
"2019_yk_085a","RAW","Yukon","Yukon","Yes"
"2019_yk_090","RAW","Yukon","Yukon","Yes"
"2019_yk_092","RAW","Yukon","Yukon","Yes"
"2019_yk_104a","RAW","Yukon","Yukon","Yes"
"2019_yk_116a","RAW","Kusko","Yukon","No"
"2019_yk_123","RAW","Yukon","Yukon","Yes"
"2019_yk_138","RAW","Yukon","Yukon","Yes"
"2019_yk_139a","RAW","Yukon","Yukon","Yes"
"2019_yk_140","RAW","Yukon","Yukon","Yes"
"2019_yk_147","RAW","Yukon","Yukon","Yes"
"2019_yk_149","RAW","Yukon","Yukon","Yes"
"2019_yk_152","RAW","Yukon","Yukon","Yes"
"2019_yk_165","RAW","Yukon","Yukon","Yes"
"2019_yk_168a","RAW","Kusko","Yukon","No"
"2019_yk_186a","RAW","Yukon","Yukon","Yes"
"2019_yk_187","RAW","Kusko","Yukon","No"
"2019_yk_261","RAW","Yukon","Yukon","Yes"
"2019_yk_268","RAW","Yukon","Yukon","Yes"
"2019_yk_279","RAW","Yukon","Yukon","Yes"
"2019_yk_283","RAW","Yukon","Yukon","Yes"
"2019_yk_286","RAW","Yukon","Yukon","Yes"
"2019_yk_288","RAW","Yukon","Yukon","Yes"
"2019_yk_289","RAW","Yukon","Yukon","Yes"
"2019_yk_295_redo","RAW","Yukon","Yukon","Yes"
"2019_yk_303","RAW","Yukon","Yukon","Yes"
"2019_yk_334","RAW","Kusko","Yukon","No"
"2019_yk_358","RAW","Yukon","Yukon","Yes"
"2019_yk_368","RAW","Yukon","Yukon","Yes"
"2019_yk_376","RAW","Kusko","Yukon","No"
"2019_yk_383","RAW","Yukon","Yukon","Yes"
